元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
1302,1302,プロジェクトコスト_計画時,"306,809百万円","306,809百万円",JPY,1.0,"[{'num': 306809.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 306809000000.0}]",[],306809000000.0,30680900000,30680900000.0,0.1,SUSPECT_X0.1,比率= 0.100 → SUSPECT_X0.1,https://www2.jica.go.jp/ja/evaluation/pdf/2019_ID-P171_4_f.pdf,10.48686809514985,2.6535574184953865,False,,
440,440,プロジェクトコスト_計画時,"6,197百万円（うち円借款4,874百万円）","6,197百万円(うち円借款4,874百万円)",JPY,1.0,"[{'num': 6197.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 6197000000.0}, {'num': 4874.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 4874000000.0}]",[],11071000000.0,6197000000,6197000000.0,0.5597507000270978,MISMATCH,比率= 0.560 → MISMATCH,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1500341_4_f.pdf,9.792181496149679,1.4956475023565456,False,,
27,27,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,,,False,,
28,28,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,,,False,,
44,44,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602358_4_f.pdf,,,False,,
67,67,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1001020_4_f.pdf,,,False,,
94,94,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0903938_4_f.pdf,,,False,,
99,99,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0613287_4_f.pdf,,,False,,
111,111,プロジェクトコスト_計画時,情報なし,情報なし,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0700868_4_f.pdf,,,False,,
123,123,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600341_4_f.pdf,,,False,,
