,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクトコスト_被援助国負担額,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクトコスト_被援助国負担額_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,file,事業形態,分野,案件名,left_4,連番
4,4,4.0,4.0,1,(アジア),2015,合同会社適材適所,井田光泰,"2,132百万円","2,132百万円",,2132000000,2132000000,,2003年3月,2008年3月,2003年3月,2008年3月,60,60,高い,,高い,高い,高い,100%,100%,低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0601124_4_f.pdf,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクト,アセアン,4
5,5,5.0,5.0,2,(アジア),2015,合同会社適材適所,井田光泰,"2,271百万円","2,271百万円",4億200万円,2271000000,2271000000,402000000,2008年3月,2013年3月,2008年3月,2013年3月,60,60,高い,,高い,高い,高い,100%,100%,低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0601124_4_f.pdf,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクト,アセアン,3
2,2,2.0,2.0,1,(アジア),2015,合同会社適材適所,井田光泰,"2,132百万円","21億3,200万円","3,500万円",2132000000,2132000000,35000000,2003年3月,2008年3月,2003年3月,2008年3月,60,60,高い,,高い,高い,高い,96.5%,100%,低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0704381_4_f.pdf,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクト フェーズ2,アセアン,2
3,3,3.0,3.0,2,(アジア),2015,合同会社適材適所,井田光泰,"2,271百万円","22億7,100万円","4億1,200万円",2271000000,2271000000,412000000,2008年3月,2013年3月,2008年3月,2013年3月,60,60,高い,,高い,高い,高い,96.5%,100%,低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0704381_4_f.pdf,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクト フェーズ2,アセアン,1
1,1,1.0,1.0,1,(アジア),2018,カンボジア事務所、ラオス事務所、ベトナム事務所,,500百万円,595百万円,,500000000,595000000,,2011年1月,2016年1月,2011年1月,2016年1月,60,60,高い,,高い,高い,中程度,119%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1000248_4_f.pdf,技協,航空・空港,東メコン地域次世代航空保安システムへの移行に係る能力開発プロジェクト,東メコン,1
0,0,0.0,0.0,3,(アジア),2020,合同会社 適材適所,井田光泰,39.5億円,38.6億円,3億440万円,3950000000,3860000000,304400000,2013年3月,2018年3月,2013年3月,2018年3月,60,60,高い,,高い,高い,高い,97.7%,100%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1202997_4_f.pdf,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクトフェーズ3,アセアン,1
1246,1246,1246.0,1246.0,1,(アジア),2021,EY 新日本有限責任監査法人,高木秀行、羽石康人,750百万USドル,102百万USドル,,112500000000,15300000000,,,,,,,,本事業は投資対象国における、省エネ・再生可能エネルギー推進政策と整合しており、投資対象国における低炭素成長の開発ニーズと整合している。,本事業は、審査時の気候変動分野における目標実現に向けた、日本の援助政策及び JICA の開発協力方針と整合していた。また、パリ協定や持続可能な開発目標（SDGs）の目標への取り組みと整合している。本事業の審査時から事後評価時点にかけて、本事業は海外投融資による支援の必要性と整合している。,「GHG 排出削減量」は達成度70%、「新規再生可能エネルギー発電量」は達成度70%であった。,サブプロジェクトの実施による GHG 排出削減量は、投資規模の割合に比してやや高いと推計される。ESG の取り組みの向上に向けた企業支援を通じて、持続可能な社会の成長に貢献していくことが考えられる。本事業の実施に伴う、環境社会面への重大な負の影響は確認されなかった。,早期に本事業が終了した影響により、本事業のアウトプットは、投資件数、投資額ともに計画を大幅に下回り、事業期間は計画を大幅に下回った。自己資本内部収益率（Equity IRR）は想定を大幅に下回り、投資効率に関して、出資者の費用負担が非常に大きかった。,14%,,投資したサブプロジェクトの持続性に関して、一部に改善の余地がある。ファンドの運営体制を継続することが困難となり、当初予定より早期に終了したため、ファンドの投資・回収の機能・効果が持続されなかった。,,,,ファンドの運営体制継続が困難となり、当初予定より早期に終了した。,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1824_4_f.pdf,有償,その他,アジア気候変動対策ファンド,アジア気,1
807,807,807.0,807.0,1,(アフリカ),2020,一般財団法人国際開発機構,浜岡真紀,500百万円,690百万円,,500000000,690000000,,2015年5月,2016年10月,2015年6月,2018年3月,18,34,高い,,高い,高い,中程度,138%,136%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1402422_4_f.pdf,技協,総合地域開発計画,西アフリカ成長リング回廊整備戦略的マスタープラン策定プロジェクト,西アフリ,1
670,670,670.0,670.0,1,(中南米),2012,株式会社グローバル・グループ 21 ジャパン,下村暢子,3.5億円,,59.1万ドル,350000000,,88650000,2005年1月,2008年1月,2005年1月,2008年1月,37,37,高い,,高い,高い,中程度,92%,100%,高い,,,非常に高い,本プロジェクトは2フェーズに分けて実施されたが、評価は一体として行われているため、評価項目は共通。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602906_4_f.pdf,技協,観光一般,メルコスール観光振興プロジェクト,メルコス,2
671,671,671.0,671.0,2,(中南米),2012,株式会社グローバル・グループ 21 ジャパン,下村暢子,0.4億円,,"11,446万円",40000000,,114460000,2008年1月,2010年1月,2008年1月,2010年1月,25,25,高い,,高い,高い,中程度,92%,100%,高い,,,非常に高い,本プロジェクトは2フェーズに分けて実施されたが、評価は一体として行われているため、評価項目は共通。,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602906_4_f.pdf,技協,観光一般,メルコスール観光振興プロジェクト,メルコス,1
669,669,669.0,669.0,1,(中南米),2013,株式会社フジタプランニング,谷垣佳奈子、鶴田浩史,300百万円,296百万円,46百万円,300000000,296000000,46000000,2005年8月,2010年7月,2005年8月,2010年7月,60,60,高い,,中程度,中程度,高い,98.7%,100%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0602903_4_f.pdf,技協,家畜衛生,広域協力を通じた南米南部家畜衛生改善のための人材育成プロジェクト,広域協力,1
668,668,668.0,668.0,1,(中南米),2014,株式会社グローバル・グループ 21 ジャパン,平野明子,290百万円,267百万円,655.2千ドル,290000000,267000000,98280000,2007年8月,2010年8月,2007年8月,2011年8月,36,48,高い,,高い,高い,中程度,92%,133%,高い,,,非常に高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603034_4_f.pdf,技協,保健・医療,看護基礎・継続教育強化プロジェクト,看護基礎,1
667,667,667.0,667.0,1,(中南米),2014,株式会社グローバル・グループ21ジャパン,薗田元,375百万円,466百万円,カウンターパート配置 106名、執務室・施設設備の提供、車両燃料費、事務用品、旅費、ワークショップ開催費などの一部を負担,375000000,466000000,,2007年5月,2012年5月,2007年5月,2012年5月,60,60,高い,,中程度,中程度,中程度,124%,100%,中程度,,,一部課題がある,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603272_4_f.pdf,技協,社会基盤一般,"中米広域防災能力向上プロジェクト""BOSAI""",中米広域,1
666,666,666.0,666.0,2,(中南米),2023,株式会社グローバル・グループ21 ジャパン,薗田元,9.5億円,12.8億円,,950000000,1280000000,,2015年7月,2020年6月,2015年7月,2020年6月,60,60,高い,高い,高い,高い,やや低い,135%,100%,やや低い,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1200297_4_f.pdf,技協,社会基盤一般,中米広域防災能力向上プロジェクトフェーズ2,中米広域,1
2060,2060,2060.0,2060.0,1,(中東),2023,EY新日本有限責任監査法人,高木秀行,286百万USD,74百万USD,,42900000000,11100000000,,,,,,,,湾岸諸国を除く MENA 地域各国の若年層失業率は、事前事後ともに高い水準で推移しており、MENA 地域各国では、民間投資促進を通じた雇用機会の拡大を促進する政策を打ち出している。本事業の実施は、MENA 地域における民間投資促進を通じた雇用機会拡大に係る政策及び開発ニーズと合致している。,本事業の実施は、MENA の格差是正、安定化に向けた審査時の日本政府及び JICA の開発協力方針と整合していた。本事業の実施において、事業効果の発現に資する JICA の他事業あるいは他ドナーとの具体的な連携はなかったものの、IFC が各国で行う支援において、WB グループならびに ILO との協力関係のもと、雇用創出の取り組みが行われている。COVID-19 パンデミック、貿易摩擦、保護主義などの世界的要因の影響を受け、海外直接投資の流入が抑制される状況にあったエジプトの企業へ投資が行われたことは、海外投融資による支援として有意義であった。,サブプロジェクト実施による雇用創出効果は限定的であるが、ディーセント・ワーク推進の観点から一定の効果があり、投資先企業の事業活動を通じて地域経済の活性化等においても一定の貢献がなされている。,本事業の主なサブプロジェクトが実施された ODA 適格国・地域がエジプトであることから、本事後評価ではインパクトの評価の対象をエジプトとした。インパクトの評価判断にあたり、本ファンドの投資額は MENA 地域の海外直接投資全体との比率として大きくはないことを考慮し、正の影響が確認できた場合にプラス要素とすることを評価方針としている。本事業は、ファンドへの出資金額を考慮すると投資規模が限られたものであり、対象地域の経済社会の安定化につながるような経済・政策面のインパクトとして特筆すべきものはない。,本ファンドへの出資金のコミットメント額が目標を下回ったこと及び、対象地域で生じたマクロ要因の影響を受け投資展開のペースが鈍化したことにより、投資された資本の額はコミットメント額を大幅に下回ったため、投資額に対して費用の割合が高い結果となった。,26%,,持続性は、各サブプロジェクトの持続性に必要となる政策・制度は維持されており、投資先企業の組織・体制、技術、財務面に問題はなく、確保されている。環境社会配慮面、リスクについても予防策が講じられている。ファンドマネージャーの持続性に関しても、投資期間の運営体制に問題はなく、回収期間へ移行後も、ファンドチームの組織体制や制度は、適切な運営が行われるよう維持されている。,,,,,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1826_4_f.pdf,有償,その他,中東・北アフリカ支援ファンド,中東・北,1
634,634,634.0,634.0,1,(大洋州),2012,EY 新日本サステナビリティ株式会社,西川圭輔,"6億5,000万円","6億4,996万円",不明,650000000,649960000,,2005年2月,2010年2月,2005年3月,2010年2月,60,60,高い,,中程度,中程度,高い,,98%,中程度,,,高い,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602727_4_f.pdf,技協,基礎保健,大洋州地域予防接種事業強化プロジェクト,大洋州地,1
