,file,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時_int,プロジェクトコスト_実績_int,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,妥当性評価,整合性評価,有効性評価,インパクト評価,効率性評価,効率性_コスト,効率性_期間,持続性評価,適応・貢献評価,付加価値・創造価値評価,総合評価,備考,事業形態,分野,案件名,連番,地域,地域詳細
0,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0704381_4_f.pdf,(アジア),2015,合同会社適材適所,井田光泰,4403000000.0,4403000000.0,2003-03-01,2008-03-01,2008-03-01,2013-03-01,60.0,60.0,高い,,高い,高い,高い,96.5,100.0,低い,,,高い,,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクト フェーズ2,1,アジア,
1,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1000248_4_f.pdf,(アジア),2018,カンボジア事務所、ラオス事務所、ベトナム事務所,,500000000.0,595000000.0,2011-01-01,2016-01-01,2011-01-01,2016-01-01,60.0,60.0,高い,,高い,高い,中程度,119.0,100.0,中程度,,,高い,,技協,航空・空港,東メコン地域次世代航空保安システムへの移行に係る能力開発プロジェクト,1,アジア,
2,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1202997_4_f.pdf,(アジア),2020,合同会社 適材適所,井田光泰,3950000000.0,3860000000.0,2013-03-01,2018-03-01,2013-03-01,2018-03-01,60.0,60.0,高い,,高い,高い,高い,97.7,100.0,高い,,,非常に高い,,技協,高等教育,アセアン工学系高等教育ネットワークプロジェクトフェーズ3,1,アジア,
3,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1824_4_f.pdf,(アジア),2021,EY 新日本有限責任監査法人,高木秀行、羽石康人,112500000000.0,15300000000.0,,,,,,,本事業は投資対象国における、省エネ・再生可能エネルギー推進政策と整合しており、投資対象国における低炭素成長の開発ニーズと整合している。,本事業は、審査時の気候変動分野における目標実現に向けた、日本の援助政策及び JICA の開発協力方針と整合していた。また、パリ協定や持続可能な開発目標（SDGs）の目標への取り組みと整合している。本事業の審査時から事後評価時点にかけて、本事業は海外投融資による支援の必要性と整合している。,「GHG 排出削減量」は達成度70%、「新規再生可能エネルギー発電量」は達成度70%であった。,サブプロジェクトの実施による GHG 排出削減量は、投資規模の割合に比してやや高いと推計される。ESG の取り組みの向上に向けた企業支援を通じて、持続可能な社会の成長に貢献していくことが考えられる。本事業の実施に伴う、環境社会面への重大な負の影響は確認されなかった。,早期に本事業が終了した影響により、本事業のアウトプットは、投資件数、投資額ともに計画を大幅に下回り、事業期間は計画を大幅に下回った。自己資本内部収益率（Equity IRR）は想定を大幅に下回り、投資効率に関して、出資者の費用負担が非常に大きかった。,14.0,,投資したサブプロジェクトの持続性に関して、一部に改善の余地がある。ファンドの運営体制を継続することが困難となり、当初予定より早期に終了したため、ファンドの投資・回収の機能・効果が持続されなかった。,,,,ファンドの運営体制継続が困難となり、当初予定より早期に終了した。,有償,その他,アジア気候変動対策ファンド,1,アジア,
4,https://www2.jica.go.jp/ja/evaluation/pdf/2020_1402422_4_f.pdf,(アフリカ),2020,一般財団法人国際開発機構,浜岡真紀,500000000.0,690000000.0,2015-05-01,2017-05-08,2015-06-01,2018-03-01,18.0,34.0,高い,,高い,高い,中程度,138.0,136.0,中程度,,,高い,,技協,総合地域開発計画,西アフリカ成長リング回廊整備戦略的マスタープラン策定プロジェクト,1,アフリカ,
5,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602906_4_f.pdf,(中南米),2012,株式会社グローバル・グループ 21 ジャパン,下村暢子,390000000.0,,2005-01-01,2008-01-01,2008-01-01,2010-01-01,62.0,62.0,高い,,高い,高い,中程度,92.0,100.0,高い,,,非常に高い,本プロジェクトは2フェーズに分けて実施されたが、評価は一体として行われているため、評価項目は共通。,技協,観光一般,メルコスール観光振興プロジェクト,1,中南米,
6,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0602903_4_f.pdf,(中南米),2013,株式会社フジタプランニング,谷垣佳奈子、鶴田浩史,300000000.0,296000000.0,2005-08-01,2010-07-01,2005-08-01,2010-07-01,60.0,60.0,高い,,中程度,中程度,高い,98.7,100.0,中程度,,,高い,,技協,家畜衛生,広域協力を通じた南米南部家畜衛生改善のための人材育成プロジェクト,1,中南米,
7,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603272_4_f.pdf,(中南米),2014,株式会社グローバル・グループ21ジャパン,薗田元,375000000.0,466000000.0,2007-05-01,2012-05-01,2007-05-01,2012-05-01,60.0,60.0,高い,,中程度,中程度,中程度,124.0,100.0,中程度,,,一部課題がある,,技協,社会基盤一般,"中米広域防災能力向上プロジェクト""BOSAI""",1,中南米,
8,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603034_4_f.pdf,(中南米),2014,株式会社グローバル・グループ 21 ジャパン,平野明子,290000000.0,267000000.0,2007-08-01,2010-08-03,2007-08-01,2011-08-01,36.0,48.0,高い,,高い,高い,中程度,92.0,133.0,高い,,,非常に高い,,技協,保健・医療,看護基礎・継続教育強化プロジェクト,1,中南米,
9,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1200297_4_f.pdf,(中南米),2023,株式会社グローバル・グループ21 ジャパン,薗田元,950000000.0,1280000000.0,2015-07-01,2020-06-01,2015-07-01,2020-06-01,60.0,60.0,高い,高い,高い,高い,やや低い,135.0,100.0,やや低い,,,高い,,技協,社会基盤一般,中米広域防災能力向上プロジェクトフェーズ2,1,中南米,
