No,file,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,効率性_コスト,効率性_期間,事業形態,分野,案件名
1,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601472_4_f.pdf,1,ラオス,2010,ラオス事務所,,498百万円,608百万円,2002年11月,2007年10月,2002年11月,2007年10月,60,60,122%,100%,技協,保健・医療,子どものための保健サービス強化プロジェクト
2,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0503700_4_f.pdf,1,カンボジア,2010,カンボジア事務所,,434百万円,337百万円,2005年6月10日,,2005年6月10日,2008年1月30日,,32,72%,94%,無償,上水道,コンポンチャム州村落飲料水供給計画
3,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0503700_4_f.pdf,2,カンボジア,2010,カンボジア事務所,,431百万円,285百万円,2006年6月12日,,2006年6月12日,2008年1月30日,,20,72%,94%,無償,上水道,コンポンチャム州村落飲料水供給計画
4,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0507000_4_f.pdf,1,モザンビーク,2010,モザンビーク事務所,,945百万円,945百万円,2005年6月,,2005年6月,2007年3月,,22,100%,111%,無償,教育,シモイオ初等教育教員養成学校建設計画
5,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0604900_4_f.pdf,1,アンゴラ,2010,南アフリカ共和国事務所(アンゴラフィールドオフィス),,432百万円,344百万円,2006年7月,,2006年7月,2008年3月,,21,80%,131%,無償,水資源開発,ルアンダ近郊諸州緊急地方給水計画
6,https://www2.jica.go.jp/ja/evaluation/pdf/2010_VNVIII-3_4_f.pdf,1,ベトナム,2010,株式会社国際開発アソシエイツ,原口孝子,"4,030百万円","2,956百万円",1999年3月,2004年12月,1999年3月,2008年4月,69,109,62%,157%,有償,電力,ダイニン水力発電所建設事業（2）
7,https://www2.jica.go.jp/ja/evaluation/pdf/2010_VNVIII-3_4_f.pdf,2,ベトナム,2010,株式会社国際開発アソシエイツ,原口孝子,"10,000百万円","8,924百万円",2001年3月,2004年12月,1999年3月,2008年4月,69,109,62%,157%,有償,電力,ダイニン水力発電所建設事業（2）
8,https://www2.jica.go.jp/ja/evaluation/pdf/2010_VNVIII-3_4_f.pdf,3,ベトナム,2010,株式会社国際開発アソシエイツ,原口孝子,"19,142百万円","16,691百万円",2004年3月,2004年12月,1999年3月,2008年4月,69,109,62%,157%,有償,電力,ダイニン水力発電所建設事業（2）
9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_PH-P179_4_f.pdf,1,フィリピン,2010,アイ・シー・ネット株式会社,三谷絹子,125億4800万円,131億8800万円,1997年3月,2004年1月,1997年3月,2007年8月,83,126,107%,152%,有償,河川・砂防,メトロマニラ西マンガハン地区洪水制御事業
10,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0601505_4_f.pdf,1,ラオス,2011,ラオス事務所,,,313百万円,2005年5月,2008年4月,2005年5月,2008年4月,36,36,151%,100%,技協,保健・医療,保健ロジスティックス強化プロジェクト
11,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604574_4_f.pdf,1,エチオピア,2011,株式会社 JIN,山下里愛,3.5億円,"2億9,584万円",2005年9月,2008年9月,2005年9月,2008年9月,36,36,84.50%,100%,技協,農業一般,灌漑農業改善プロジェクト
12,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0410500_4_f.pdf,1,モザンビーク,2011,モザンビーク事務所,,926百万円,925百万円,2004年9月,,2004年9月,2006年3月,,19,100%,101%,無償,保健・医療,キリマネ医療従事者養成学校整備計画
13,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0507900_4_f.pdf,1,キリバス,2011,フィジー事務所,,313百万円,311百万円,2005年3月,2007年1月,2005年3月,2007年1月,23,23,99%,99%,無償,港湾,ベシオ港修復計画
14,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0507900_4_f.pdf,2,キリバス,2011,フィジー事務所,,521百万円,517百万円,2005年7月,2007年1月,2005年7月,2007年1月,19,19,99%,99%,無償,港湾,ベシオ港修復計画
15,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0704600_4_f.pdf,1,モルディブ,2011,スリランカ事務所/モルディブ事務所,,674百万円,673百万円,2007年6月,2008年12月,2007年6月,2009年3月,19,22,100%,116%,無償,教育,マレ第二女子中学校建設計画
16,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0702200_4_f.pdf,1,ガーナ,2011,佐野総合企画株式会社,十津川淳,678百万円,677百万円,2006年8月,2007年7月,2007年2月,2008年3月,11,14,99.70%,123%,無償,電気通信,地方電化計画
17,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0702200_4_f.pdf,2,ガーナ,2011,佐野総合企画株式会社,十津川淳,410百万円,408百万円,2007年8月,2008年6月,2008年1月,2008年12月,10,12,99.70%,123%,無償,電気通信,地方電化計画
18,https://www2.jica.go.jp/ja/evaluation/pdf/2011_SL-P45_4_f.pdf,1,スリランカ,2011,新日本サステナビリティ(株),高橋久恵,463百万円,,1994年4月,1996年3月,1995年4月,1996年9月,24,18,97%,147%,有償,河川・砂防,ワラウェ川左岸灌漑改修拡張事業（I）
19,https://www2.jica.go.jp/ja/evaluation/pdf/2011_SL-P45_4_f.pdf,2,スリランカ,2011,新日本サステナビリティ(株),高橋久恵,"3,026百万円","3,023百万円",1995年8月,2000年6月,1995年8月,2002年3月,59,80,97%,147%,有償,河川・砂防,ワラウェ川左岸灌漑改修拡張事業（I）
20,https://www2.jica.go.jp/ja/evaluation/pdf/2011_SL-P45_4_f.pdf,3,スリランカ,2011,新日本サステナビリティ(株),高橋久恵,"11,050百万円","10,605百万円",1996年10月,2003年7月,1996年10月,2008年10月,82,145,97%,147%,有償,河川・砂防,ワラウェ川左岸灌漑改修拡張事業（I）
21,https://www2.jica.go.jp/ja/evaluation/pdf/2011_INP-37_4_f.pdf,1,インドネシア,2011,"三菱 UFJ リサーチ&コンサルティング株式会社, PB ジャパン株式会社","島村真澄, 田辺輝行, 中舘克彦","13,830百万円","13,830百万円",2010年3月,2010年3月,2010年3月,2010年3月,1,1,,,有償,環境問題,気候変動対策プログラムローン（II）（景気刺激支援）
