,Unnamed: 0.1,Unnamed: 0,title,fail_factor,impact,phase,actor,controllability,is_overrun_related,evidence,evidence_section,confidence,file
0,0.0,0.0,北部州地下水開発計画,鉄鋼価格およびザンビア・クワチャの対米ドルレートの上昇,掘削された深井戸の数量が、計画されていた175本に対し実績は163本にとどまった,IMPLEMENTATION,EXOGENOUS,LOW,False,アウトプットである深井戸の数量は、鉄鋼価格およびザンビア・クワチャの対米ドルレートの上昇のため、計画では 175 本であったものの実績は 163 本にとどまった。,2 効率性,1.0,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0407000_4_f.pdf
1,1.0,1.0,北部州地下水開発計画,住民の関与不足による、維持管理費（徴収率12～52％）の徴収不足,施設の運営・維持管理にかかる財務面に問題が生じ、事業の持続性に影響を及ぼしている,OPERATION,PARTNER,MEDIUM,False,住民からの維持管理費の徴収率が比較的低いため、財務の一部に問題が見られたほか、故障したハンドポンプがあることから維持管理状況の一部にも問題が見受けられた。,Ⅱ 評価結果,0.9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0407000_4_f.pdf
2,2.0,2.0,北部州地下水開発計画,一部の村落レベル維持管理組織（V-WASHE）の不活性化,故障したハンドポンプの放置や、維持管理状況に関する最新情報の入手困難を招いている,OPERATION,PARTNER,MEDIUM,False,2010 年 1 月時点で故障したハンドポンプや活動していない村落レベル維持管理組織があり、よってこれらグループから最新の情報を入手できない、といった問題がある。,4 持続性,0.9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0407000_4_f.pdf
3,3.0,3.0,北部州地下水開発計画,給水状況に関するモニタリング・情報管理システムの未整備,事後評価時点において安全な水の供給量データが入手できず、事業効果の検証が困難となった,OPERATION,PARTNER,HIGH,False,事後評価時点の安全な水の供給量はデータが入手できず確認できなかったため、効果発現に一部問題が見受けられた。,Ⅱ 評価結果,0.8,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0407000_4_f.pdf
4,4.0,4.0,北部州地下水開発計画,地下水における高い鉄分含有量の発生（自然要因および掘削孔の浸食等）,住民の井戸水利用に悪影響を及ぼし、事業によって得られる効果の最大化を阻害している,OPERATION,EXOGENOUS,LOW,False,北部州の地下水は鉄含有量が多いため、住民の井戸水利用に影響している。...事業効果の最大化を阻害する要因と考えられる。,3 有効性･インパクト,0.9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0407000_4_f.pdf
5,5.0,0.0,ベイラ港浚渫能力増強計画,実現可能性の低い24時間3チーム体制を前提とした浚渫作業計画,供与された2隻の浚渫船のみでは目標水深8mを達成できず、他ドナー支援による追加浚渫が必要となった,PLANNING,MULTIPLE,HIGH,False,旧航路を浚渫して水深 8m とする本事業の目的に対しては、日本政府の無償資金協力により建造された 2 隻の浚渫船によって実現することはできなかった。当初より実現可能性は低かった,0. 要旨,0.9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501300_4_f.pdf
6,6.0,1.0,ベイラ港浚渫能力増強計画,実施機関の全国的な浚渫責務を考慮せず、ベイラ港のみでの稼働を前提とした機材投入計画,先行供与船が他港の作業に割かれたことで2隻集中的な作業体制が遅延し、目標増深の達成率が約52%に留まった,PLANNING,MULTIPLE,MEDIUM,True,アルアングア号と本事業で供与した新浚渫船...は、ベイラ港航路のみで浚渫作業を行う想定で計画がなされていた。しかし、EMODRAGA は...全国の港湾の浚渫作業を行うことになっている,3.1.4 事業目的達成に向けた計画の適切性,0.85,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501300_4_f.pdf
7,7.0,2.0,ベイラ港浚渫能力増強計画,基本設計調査時における運営維持管理予算の過小評価と資金源の確認不足,急増する運営費に対し具体的な資金源の目途が立たず、実施機関の慢性的な赤字が持続性の課題となった,PLANNING,JICA,HIGH,False,運営維持管理予算は...400 万～500 万米ドルと見積もられていた。モザンビーク側が急増する運営費を負担するには具体的な資金源の目途がない限り厳しいものであった,3.1.4 事業目的達成に向けた計画の適切性,0.9,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501300_4_f.pdf
8,8.0,3.0,ベイラ港浚渫能力増強計画,24時間交代制勤務への移行に必要な増員船員の育成期間や体制整備への配慮不足,事後評価時点まで24時間体制は一度も実施されず、標準年間稼働時間に対する稼働率が60～70%台に留まった,PLANNING,JICA,HIGH,False,増員する船員の育成期間を考えると 24 時間 2 交代 3 チーム体制を直ちに実施できるような状況でなかったと考えられる。,3.1.4 事業目的達成に向けた計画の適切性,0.85,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501300_4_f.pdf
9,9.0,4.0,ベイラ港浚渫能力増強計画,船舶管理手法や測量技術、中長期的な業務計画策定能力といったソフト面の指導不足,自力での技術改善が評価時点でなされておらず、別途日本政府の見返り資金による追加技術指導が必要となった,OPERATION,PARTNER,MEDIUM,False,船舶管理手法、浚渫機器の取り扱いや保守技術、測量技術を含む操縦に関する技術習得の向上が必要と指摘しており、これらの点については評価時点でまだ改善がなされていない。,3.5.2 運営・維持管理の技術,0.8,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0501300_4_f.pdf
