,alpha3,Year,gdp_growth,join_flg
0,ABW,1960,,True
1,AFE,1960,,True
2,AFG,1960,,True
3,AFW,1960,,True
4,AGO,1960,,True
5,ALB,1960,,True
6,AND,1960,,True
7,ARB,1960,,True
8,ARE,1960,,True
9,ARG,1960,,True
10,ARM,1960,,True
11,ASM,1960,,True
12,ATG,1960,,True
13,AUS,1960,,True
14,AUT,1960,,True
15,AZE,1960,,True
16,BDI,1960,,True
17,BEL,1960,,True
18,BEN,1960,,True
19,BFA,1960,,True
20,BGD,1960,,True
21,BGR,1960,,True
22,BHR,1960,,True
23,BHS,1960,,True
24,BIH,1960,,True
25,BLR,1960,,True
26,BLZ,1960,,True
27,BMU,1960,,True
28,BOL,1960,,True
29,BRA,1960,,True
30,BRB,1960,,True
31,BRN,1960,,True
32,BTN,1960,,True
33,BWA,1960,,True
34,CAF,1960,,True
35,CAN,1960,,True
36,CEB,1960,,True
37,CHE,1960,,True
38,CHI,1960,,True
39,CHL,1960,,True
40,CHN,1960,,True
41,CIV,1960,,True
42,CMR,1960,,True
43,COD,1960,,True
44,COG,1960,,True
45,COL,1960,,True
46,COM,1960,,True
47,CPV,1960,,True
48,CRI,1960,,True
49,CSS,1960,,True
50,CUB,1960,,True
51,CUW,1960,,True
52,CYM,1960,,True
53,CYP,1960,,True
54,CZE,1960,,True
55,DEU,1960,,True
56,DJI,1960,,True
57,DMA,1960,,True
58,DNK,1960,,True
59,DOM,1960,,True
60,DZA,1960,,True
61,EAP,1960,,True
62,EAR,1960,,True
63,EAS,1960,,True
64,ECA,1960,,True
65,ECS,1960,,True
66,ECU,1960,,True
67,EGY,1960,,True
68,EMU,1960,,True
69,ERI,1960,,True
70,ESP,1960,,True
71,EST,1960,,True
72,ETH,1960,,True
73,EUU,1960,,True
74,FCS,1960,,True
75,FIN,1960,,True
76,FJI,1960,,True
77,FRA,1960,,True
78,FRO,1960,,True
79,FSM,1960,,True
80,GAB,1960,,True
81,GBR,1960,,True
82,GEO,1960,,True
83,GHA,1960,,True
84,GIB,1960,,True
85,GIN,1960,,True
86,GMB,1960,,True
87,GNB,1960,,True
88,GNQ,1960,,True
89,GRC,1960,,True
90,GRD,1960,,True
91,GRL,1960,,True
92,GTM,1960,,True
93,GUM,1960,,True
94,GUY,1960,,True
95,HIC,1960,,True
96,HKG,1960,,True
97,HND,1960,,True
98,HPC,1960,,True
99,HRV,1960,,True
100,HTI,1960,,True
101,HUN,1960,,True
102,IBD,1960,,True
103,IBT,1960,,True
104,IDA,1960,,True
105,IDB,1960,,True
106,IDN,1960,,True
107,IDX,1960,,True
108,IMN,1960,,True
109,IND,1960,,True
110,INX,1960,,True
111,IRL,1960,,True
112,IRN,1960,,True
113,IRQ,1960,,True
114,ISL,1960,,True
115,ISR,1960,,True
116,ITA,1960,,True
117,JAM,1960,,True
118,JOR,1960,,True
119,JPN,1960,,True
120,KAZ,1960,,True
121,KEN,1960,,True
122,KGZ,1960,,True
123,KHM,1960,,True
124,KIR,1960,,True
