,alpha3,Year,population,join_flg
0,ABW,1960,54922.0,True
1,AFE,1960,130072080.0,True
2,AFG,1960,9035043.0,True
3,AFW,1960,97630925.0,True
4,AGO,1960,5231654.0,True
5,ALB,1960,1608800.0,True
6,AND,1960,9510.0,True
7,ARB,1960,91540853.0,True
8,ARE,1960,131334.0,True
9,ARG,1960,20386045.0,True
10,ARM,1960,1863705.0,True
11,ASM,1960,20133.0,True
12,ATG,1960,55603.0,True
13,AUS,1960,10276477.0,True
14,AUT,1960,7047539.0,True
15,AZE,1960,3894500.0,True
16,BDI,1960,2764258.0,True
17,BEL,1960,9153489.0,True
18,BEN,1960,2517286.0,True
19,BFA,1960,4778621.0,True
20,BGD,1960,51828660.0,True
21,BGR,1960,7867374.0,True
22,BHR,1960,165477.0,True
23,BHS,1960,116317.0,True
24,BIH,1960,3281381.0,True
25,BLR,1960,8198000.0,True
26,BLZ,1960,91318.0,True
27,BMU,1960,42208.0,True
28,BOL,1960,3702323.0,True
29,BRA,1960,72388126.0,True
30,BRB,1960,230893.0,True
31,BRN,1960,88347.0,True
32,BTN,1960,224084.0,True
33,BWA,1960,516165.0,True
34,CAF,1960,1702346.0,True
35,CAN,1960,17909356.0,True
36,CEB,1960,91401764.0,True
37,CHE,1960,5327827.0,True
38,CHI,1960,110808.0,True
39,CHL,1960,8153350.0,True
40,CHN,1960,667070000.0,True
41,CIV,1960,3673666.0,True
42,CMR,1960,5159057.0,True
43,COD,1960,15264846.0,True
44,COG,1960,1056732.0,True
45,COL,1960,15606209.0,True
46,COM,1960,197700.0,True
47,CPV,1960,210024.0,True
48,CRI,1960,1327496.0,True
49,CSS,1960,1713405.0,True
50,CUB,1960,7238081.0,True
51,CUW,1960,124826.0,True
52,CYM,1960,8428.0,True
53,CYP,1960,586490.0,True
54,CZE,1960,9602006.0,True
55,DEU,1960,72814900.0,True
56,DJI,1960,86024.0,True
57,DMA,1960,59372.0,True
58,DNK,1960,4579603.0,True
59,DOM,1960,3268336.0,True
60,DZA,1960,11424922.0,True
61,EAP,1960,895961535.0,True
62,EAR,1960,968909356.0,True
63,EAS,1960,1042838451.0,True
64,ECA,1960,128810451.0,True
65,ECS,1960,667887811.0,True
66,ECU,1960,4590891.0,True
67,EGY,1960,26896479.0,True
68,EMU,1960,270148970.0,True
69,ERI,1960,972547.0,True
70,ESP,1960,30455000.0,True
71,EST,1960,1211537.0,True
72,ETH,1960,21376693.0,True
73,EUU,1960,357710931.0,True
74,FCS,1960,245446477.0,True
75,FIN,1960,4429634.0,True
76,FJI,1960,404887.0,True
77,FRA,1960,47412964.0,True
78,FRO,1960,34127.0,True
79,FSM,1960,43061.0,True
80,GAB,1960,512316.0,True
81,GBR,1960,52400000.0,True
82,GEO,1960,3645600.0,True
83,GHA,1960,6961215.0,True
84,GIB,1960,21839.0,True
85,GIN,1960,3556749.0,True
86,GMB,1960,398060.0,True
87,GNB,1960,577633.0,True
88,GNQ,1960,269807.0,True
89,GRC,1960,8331725.0,True
90,GRD,1960,94058.0,True
91,GRL,1960,32500.0,True
92,GTM,1960,4063655.0,True
93,GUM,1960,69525.0,True
94,GUY,1960,569143.0,True
95,HIC,1960,906950090.0,True
96,HKG,1960,3114671.0,True
97,HND,1960,2062060.0,True
98,HPC,1960,163650527.0,True
99,HRV,1960,4140181.0,True
100,HTI,1960,3858443.0,True
101,HUN,1960,9983967.0,True
102,IBD,1960,1893700976.0,True
103,IBT,1960,2289188361.0,True
104,IDA,1960,395487385.0,True
105,IDB,1960,120801801.0,True
106,IDN,1960,88296070.0,True
107,IDX,1960,274685584.0,True
108,IMN,1960,48868.0,True
109,IND,1960,435990338.0,True
110,INX,1960,,True
111,IRL,1960,2828600.0,True
112,IRN,1960,21470434.0,True
113,IRQ,1960,7022052.0,True
114,ISL,1960,175574.0,True
115,ISR,1960,2114020.0,True
