,year,alpha3,Control of Corruption,Government Effectiveness,Political Stability,Regulatory Quality,Rule of Law,Voice and Accountability,join_flg
0,1980,AFG,,,,,,,True
1,1980,AGO,,,,,,,True
2,1980,ALB,,,,,,,True
3,1980,ARG,,,,,,,True
4,1980,ARM,,,,,,,True
5,1980,ATG,,,,,,,True
6,1980,AZE,,,,,,,True
7,1980,BDI,,,,,,,True
8,1980,BEN,,,,,,,True
9,1980,BFA,,,,,,,True
10,1980,BGD,,,,,,,True
11,1980,BGR,,,,,,,True
12,1980,BIH,,,,,,,True
13,1980,BLZ,,,,,,,True
14,1980,BOL,,,,,,,True
15,1980,BRA,,,,,,,True
16,1980,BRB,,,,,,,True
17,1980,BTN,,,,,,,True
18,1980,BWA,,,,,,,True
19,1980,CHL,,,,,,,True
20,1980,CHN,,,,,,,True
21,1980,CIV,,,,,,,True
22,1980,CMR,,,,,,,True
23,1980,COD,,,,,,,True
24,1980,COL,,,,,,,True
25,1980,COM,,,,,,,True
26,1980,CPV,,,,,,,True
27,1980,CRI,,,,,,,True
28,1980,CUB,,,,,,,True
29,1980,DJI,,,,,,,True
30,1980,DMA,,,,,,,True
31,1980,DOM,,,,,,,True
32,1980,DZA,,,,,,,True
33,1980,ECU,,,,,,,True
34,1980,EGY,,,,,,,True
35,1980,ERI,,,,,,,True
36,1980,ETH,,,,,,,True
37,1980,FJI,,,,,,,True
38,1980,FSM,,,,,,,True
39,1980,GAB,,,,,,,True
40,1980,GEO,,,,,,,True
41,1980,GHA,,,,,,,True
42,1980,GIN,,,,,,,True
43,1980,GMB,,,,,,,True
44,1980,GNB,,,,,,,True
45,1980,GRD,,,,,,,True
46,1980,GTM,,,,,,,True
47,1980,GUY,,,,,,,True
48,1980,HND,,,,,,,True
49,1980,HRV,,,,,,,True
50,1980,HTI,,,,,,,True
51,1980,IDN,,,,,,,True
52,1980,IND,,,,,,,True
53,1980,IRN,,,,,,,True
54,1980,IRQ,,,,,,,True
55,1980,JAM,,,,,,,True
56,1980,JOR,,,,,,,True
57,1980,KAZ,,,,,,,True
58,1980,KEN,,,,,,,True
59,1980,KGZ,,,,,,,True
60,1980,KHM,,,,,,,True
